vessel,service,ata,atb,ats,liner,berth window,berth,berth status
MSC SARA ELENA FI 749A,IPANE-ASAS,13/01/18 20:00,13/01/18 22:05,15/01/18 01:10,MSC,14/01/2018 01:00,1,IN
MAERSK LOTA 1801,NEO BOSSA,15/01/18 03:00,15/01/18 05:50,15/01/18 22:20,MAE,13/01/2018 01:00,3,OUT
MSC MARGARITA UA 751A,USA-STRING,15/01/18 03:00,15/01/18 06:50,15/01/18 18:40,MSC,15/01/2018 07:00,1,IN
MSC AMALFI MM 801R,WMED,15/01/18 11:30,15/01/18 15:00,16/01/18 16:40,MSC,16/1/2018 01:00,2,IN
CCNI ANDES NA 751A,NWC1,16/01/18 13:00,16/01/18 15:07,17/01/18 07:20,HLC,16/01/2018 19:00,1,IN
MSC AJACCIO MM 751A,WMED,16/01/18 22:00,17/01/18 04:25,17/01/18 20:30,MSC,17/1/2018 07:00,2,IN
CS SETUBAL LP 751R,EXTRA CALL,17/01/18 12:30,17/01/18 14:45,18/01/18 19:09,MSC,EXTRA CALL,3,OUT
MOL ANCHORAGE 801B,IPANE-ASAS,16/01/18 12:00,17/01/18 15:19,19/01/18 12:35,MOL,18/1/2018 13:00,1,IN
UASC UMM QASR NA 802R,NWC1,18/01/18 02:00,18/01/18 04:00,19/01/18 16:40,HLC,18/1/2018 07:00,2,IN
LOG-IN RESILIENTE 018N,VITORIA,18/01/18 18:00,18/01/18 22:11,20/01/18 00:20,MSC,20/1/2018 19:00,3,IN
VICENTE PINZON 031S,ALCT2,17/01/18 15:24,19/01/18 15:25,19/01/18 19:15,ALI,19/1/2018 13:00,1,IN
MERCOSUL SANTOS 008BCN,MERCO,19/01/18 20:00,19/01/18 22:25,20/01/18 11:45,MER,20/1/2018 07:00,1,IN
MSC VANESSA UA 802R,USA-STRING,19/01/18 09:14,19/01/18 23:20,20/01/18 17:50,MSC,19/1/2018 19:00,2,IN
CMA CGM RIO GRANDE 301NSS,NEO BOSSA,20/01/18 14:00,20/01/18 17:05,21/01/18 03:07,CMA,20/1/2018 01:00,1,OUT
MAERSK LAMANAI 1802,NEO BOSSA,20/01/18 21:00,20/01/18 22:40,21/01/18 19:40,MAE,21/1/2018 01:00,2,IN
MSC ANTONELLA FI 750A,IPANE-ASAS,20/01/18 20:00,20/01/18 21:43,22/01/18 06:55,MSC,21/1/2018 01:00,3,IN
CSAV TRAIGUEN MM 802R,WMED,21/01/18 04:30,22/01/18 05:50,23/01/18 09:39,HLC,23/1/2018 01:00,2,IN
PAUL RUSS 1804,EXTRA CALL,23/01/18 16:30,23/01/18 18:45,24/01/18 01:08,ALI,EXTRA CALL,3,OUT
MSC BRUNELLA NA 752A,NWC1,24/01/18 20:00,24/01/18 21:30,25/01/18 10:45,MSC,23/1/2018 19:00,2,OUT
MSC VITA MM 752A,WMED,24/01/18 20:00,24/01/18 22:30,25/01/18 19:15,MSC,24/1/2018 07:00,3,OUT
SEASPAN DUBAI 001S,ALCT2,24/01/18 23:20,26/01/18 00:05,26/01/18 04:43,ALI,26/1/2018 13:00,3,IN
MSC ELODIE NA 803R,NWC1,25/01/18 03:00,25/01/18 05:13,26/01/18 09:06,MSC,25/1/2018 07:00,1,IN
MSC MARGARITA UA 803R,USA-STRING,25/01/18 10:24,26/01/18 07:10,26/01/18 18:55,MSC,26/1/2018 19:00,3,IN
MSC NAOMI FI 802R,IPANE-ASAS,23/01/18 20:18,25/01/18 15:45,27/01/18 12:45,MSC,25/1/2018 13:00,2,IN
MAERSK LABREA 1803,NEO BOSSA,26/01/18 16:00,26/01/18 17:35,27/01/18 18:05,MAE,27/1/2018 01:00,1,IN
LOG-IN RESILIENTE 019N,VITORIA,25/01/18 16:50,26/01/18 22:45,27/01/18 13:15,MSC,27/1/2018 19:00,3,IN
MAERSK LOTA 1802,NEO BOSSA,27/01/18 09:00,27/01/18 17:10,28/01/18 14:15,MAE,28/1/2018 01:00,3,IN
CEZANNE 751W,IPANE-ASAS,27/01/18 20:00,27/01/18 22:35,29/01/18 09:50,MAE,28/1/2018 01:00,2,IN
MSC AJACCIO MM 803R,WMED,29/01/18 03:50,29/01/18 15:00,31/01/18 02:04,MSC,30/1/2018 01:00,2,IN
MSC MELINE MM 801A,WMED,30/01/18 23:00,31/01/18 01:29,31/01/18 11:15,MSC,31/1/2018 07:00,3,IN
MSC KRYSTAL UA 801A,USA-STRING,31/01/18 15:00,31/01/18 20:55,01/02/18 16:02,MSC,29/1/2018 07:00,3,OUT
UASC AL KHOR NA 801A,NWC1,31/01/18 20:00,31/01/18 22:35,02/02/18 07:45,HLC,30/1/2018 19:00,1,OUT
MSC SARA ELENA FI 803R,IPANE-ASAS,30/01/18 05:00,31/01/18 15:58,02/02/18 13:45,MSC,1/2/2018 13:00,2,IN
VICENTE PINZON 032S,ALCT2,31/01/18 07:00,02/02/18 10:55,02/02/18 19:19,ALI,2/2/2018 13:00,1,IN
CCNI ANDES NA 804R,NWC1,31/01/18 07:18,01/02/18 23:35,03/02/18 03:15,HLC,01/02/2018 07:00,3,IN
LOG-IN JATOBA 151N,MERCO,02/02/18 20:40,02/02/18 22:31,03/02/18 07:15,LOG,3/2/2018 07:00,1,IN
MSC MAUREEN UA 804R,USA-STRING,01/02/18 10:42,02/02/18 17:35,03/02/18 11:10,MSC,2/2/2018 19:00,2,IN
MSC RONIT LP 805A,PARANA,31/01/18 07:00,03/02/18 10:15,04/02/18 03:19,MSC,5/2/2018 19:00,1,IN
CMA CGM LITANI 305NSS,NEO BOSSA,03/02/18 21:45,04/02/18 01:10,05/02/18 06:15,CMA,3/2/2018 01:00,2,OUT
MAERSK LETICIA 752W,IPANE-ASAS,03/02/18 20:00,04/02/18 00:18,05/02/18 09:40,MAE,4/2/2018 01:00,3,IN
CMA CGM RIO GRANDE 302NSN,NEO BOSSA,04/02/18 03:30,04/02/18 07:30,06/02/18 06:05,CMA,4/2/2018 01:00,1,OUT
MSC VITA MM 804R,WMED,05/02/18 05:00,05/02/18 13:10,06/02/18 18:42,MSC,06/02/2018 01:00,2,IN
MSC AGADIR MM 802A,WMED,06/02/18 23:00,07/02/18 02:05,07/02/18 15:10,MSC,07/02/2018 07:00,2,IN
MSC PALAK NA 802A,NWC1,07/02/18 19:00,07/02/18 23:30,09/02/18 01:18,MSC,6/2/2018 19:00,2,OUT
MSC ANTONELLA FI 804R,IPANE-ASAS,06/02/18 09:00,07/02/18 18:40,09/02/18 08:20,MSC,08/02/2018 13:00,1,IN
MSC BRUNELLA NA 805R,NWC1,07/02/18 23:00,08/02/18 00:30,09/02/18 14:12,MSC,08/02/2018 07:00,3,IN
LOG-IN RESILIENTE 021N,VITORIA,09/02/18 21:00,10/02/18 11:08,11/02/18 03:08,MSC,10/02/2018 19:00,3,IN
MAERSK LABREA 1804,NEO BOSSA,10/02/18 20:00,10/02/18 22:35,11/02/18 15:05,MAE,11/02/2018 01:00,2,IN
MAERSK SHAMS 801W,IPANE-ASAS,11/02/18 01:00,11/02/18 02:46,12/02/18 04:22,MAE,11/02/2018 01:00,1,IN
MSC KRYSTAL UA 805R,USA-STRING,11/02/18 09:42,11/02/18 21:30,12/02/18 23:35,MSC,09/02/2018 19:00,3,OUT
MSC MARINA UA 803A,USA-STRING,12/02/18 06:00,12/02/18 07:38,13/02/18 07:45,MSC,12/02/2018 07:00,1,IN
MAERSK LINS 1803,NEO BOSSA,12/02/18 01:20,12/02/18 03:07,13/02/18 16:55,MAE,10/02/2018 01:00,2,OUT
MSC NITA LD 807A,PARANA,12/02/18 12:00,13/02/18 14:55,14/02/18 17:50,MSC,12/02/2018 19:00,3,IN
MSC MELINE MM 805R,WMED,12/02/18 12:06,13/02/18 16:15,14/02/18 23:15,MSC,13/02/2018 01:00,1,IN
MSC AZOV MM 803A,WMED,14/02/18 07:00,14/02/18 09:32,15/02/18 04:05,MSC,14/02/2018 07:00,2,IN
SAN ANTONIO 803W,SAEX,14/02/18 04:12,14/02/18 21:20,15/02/18 05:10,ALI,14/02/2018 13:00,3,IN
UASC AL KHOR NA 806R,NWC1,15/02/18 07:30,15/02/18 10:20,16/02/18 15:40,HLC,15/02/2018 07:00,1,OUT
MSC ARICA NA 803A,NWC1,15/02/18 06:00,15/02/18 09:12,16/02/18 21:15,MSC,13/2/2018 19:00,3,OUT
CEZANNE 751E,IPANE-ASAS,15/02/18 14:00,15/02/18 15:30,17/02/18 07:54,MAE,15/2/2018 13:00,2,OUT
CMA CGM MAGDALENA 309NSS,NEO BOSSA,16/02/18 15:00,16/02/18 19:15,17/02/18 16:10,CMA,17/2/2018 01:00,1,IN
SEASPAN DUBAI 002S,ALCT2,15/02/18 00:00,16/02/18 23:11,17/02/18 15:00,ALI,16/2/2018 13:00,3,IN
MAERSK SIRAC 802W,IPANE-ASAS,17/02/18 22:30,17/02/18 23:14,18/02/18 23:49,MAE,18/2/2018 01:00,2,IN
FERNÃO DE MAGALHÃES 042N,EXTRA CALL,16/02/18 06:15,19/02/18 01:43,19/02/18 13:12,ALI,EXTRA CALL,3,OUT
MSC CADIZ UA 804A,USA-STRING,19/02/18 05:30,19/02/18 08:13,20/02/18 00:11,MSC,19/2/2018 07:00,1,IN
CMA CGM LITANI 306NSN,NEO BOSSA,19/02/18 08:00,19/02/18 11:46,20/02/18 18:20,CMA,18/2/2018 01:00,2,OUT
MSC RONIT LP 808A,PARANA,19/02/18 18:30,19/02/18 20:15,21/02/18 02:19,MSC,19/2/2018 19:00,3,IN
UASC ZAMZAM NA 804A,NWC1,20/02/18 05:00,20/02/18 08:00,21/02/18 11:15,HLC,20/2/2018 19:00,1,IN
MSC AGADIR MM 806R,WMED,20/02/18 10:24,21/02/18 00:53,22/02/18 06:11,MSC,20/2/2018 01:00,2,OUT
MSC ADELAIDE MM 804A,WMED,21/02/18 04:00,21/02/18 06:50,22/02/18 06:48,MSC,21/2/2018 07:00,3,IN
PAUL RUSS 809W,SAEX,21/02/18 13:00,22/02/18 18:15,23/02/18 07:45,ALI,21/2/2018 13:00,3,IN
MAERSK LETICIA 752E,IPANE-ASAS,19/02/18 19:07,21/02/18 19:30,23/02/18 19:45,MAE,22/2/2018 13:00,1,IN
LOG-IN RESILIENTE 022N,VITORIA,19/02/18 14:50,22/02/18 11:10,23/02/18 12:45,MSC,17/2/2018 19:00,2,OUT
MSC PALAK NA 807R,NWC1,22/02/18 05:24,23/02/18 18:20,24/02/18 10:15,MSC,22/2/2018 07:00,2,IN
VICENTE PINZON 033S,ALCT2,21/02/18 03:30,23/02/18 22:20,24/02/18 18:42,ALI,23/2/2018 13:00,3,IN
MAERSK LABERINTO 1803,NEO BOSSA,24/02/18 02:30,24/02/18 04:19,24/02/18 22:19,MAE,24/2/2018 01:00,1,OUT
MSC MARINA UA 807R,USA-STRING,24/02/18 07:17,24/02/18 14:00,25/02/18 08:40,MSC,23/2/2018 19:00,2,OUT
MSC JEONGMIN FI 803A,IPANE-ASAS,24/02/18 21:00,25/02/18 01:44,26/02/18 02:16,MSC,25/2/2018 01:00,3,IN
MAERSK LINS 1804,NEO BOSSA,25/02/18 17:00,25/02/18 21:11,26/02/18 15:46,MAE,25/2/2018 01:00,1,OUT
MSC AZOV MM 807R,WMED,26/02/18 06:00,26/02/18 08:00,28/02/18 02:35,MSC,27/02/2018 01:00,3,IN
MSC MARTA UA 805A,USA-STRING,26/02/18 03:00,27/02/18 04:32,27/02/18 22:08,MSC,26/2/2018 07:00,1,IN
MSC AMALFI MM 805A,WMED,27/02/18 23:00,28/02/18 01:41,28/02/18 15:09,MSC,28/2/2018 07:00,1,IN
SAN ANTONIO 805W,SAEX,28/02/18 12:00,28/02/18 19:45,01/03/18 00:10,ALI,28/2/2018 13:00,1,IN
MSC LILY NA 805A,NWC1,28/02/18 18:00,28/02/18 22:25,01/03/18 22:13,MSC,27/2/2018 19:00,3,OUT
BARTOLOMEU DIAS 034S,ALCT2,28/02/18 12:55,01/03/18 18:55,02/03/18 08:10,ALI,2/3/2018 13:00,2,IN
MAERSK SHAMS 801E,IPANE-ASAS,01/03/18 07:00,01/03/18 09:10,02/03/18 17:20,MAE,1/3/2018 13:00,1,IN
MSC CADIZ UA 808R,USA-STRING,01/03/18 12:42,02/03/18 01:50,03/03/18 00:10,MSC,2/3/2018 19:00,3,IN
LOG-IN RESILIENTE 024N,VITORIA,02/03/18 00:40,02/03/18 11:50,03/03/18 12:45,MSC,3/3/2018 19:00,2,IN
MAERSK LAMANAI 1803,NEO BOSSA,02/03/18 21:00,02/03/18 23:15,04/03/18 03:30,MAE,3/3/2018 01:00,1,IN
MSC NITA LD 809A,PARANA,04/03/18 00:30,04/03/18 02:20,04/03/18 21:40,MSC,26/2/2018 19:00,3,OUT
MAERSK LAGUNA 804W,IPANE-ASAS,03/03/18 21:00,03/03/18 22:35,05/03/18 03:15,MAE,4/3/2018 01:00,2,IN
MSC ARICA NA 808R,NWC1,02/03/18 07:18,04/03/18 11:06,06/03/18 09:45,MSC,1/3/2018 07:00,1,OUT
MSC BARCELONA UA 806A,USA-STRING,05/03/18 14:24,06/03/18 08:02,06/03/18 18:31,MSC,5/3/2018 07:00,2,OUT
UASC UMM QASR NA 806A,NWC1,06/03/18 07:00,06/03/18 13:32,07/03/18 12:20,HLC,6/3/2018 19:00,1,IN
MSC ADELAIDE MM 808R,WMED,05/03/18 10:00,06/03/18 23:00,08/03/18 02:15,MSC,06/03/2018 01:00,2,IN
CMA CGM MAGDALENA 310NSN,NEO BOSSA,06/03/18 01:06,07/03/18 16:50,09/03/18 02:20,CMA,04/03/2018 01:00,1,OUT
PAUL RUSS 811W,SAEX,07/03/18 06:00,08/03/18 06:05,08/03/18 10:34,ALI,07/03/2018 13:00,2,IN
MAERSK SIRAC 802E,IPANE-ASAS,07/03/18 05:00,08/03/18 14:09,09/03/18 19:45,MAE,08/03/2018 13:00,2,IN
UASC ZAMZAM NA 809R,NWC1,07/03/18 22:00,09/03/18 06:35,10/03/18 02:10,HLC,08/03/2018 07:00,1,IN
CSAV TRAIGUEN MM 806A,WMED,08/03/18 23:30,09/03/18 01:25,10/03/18 08:21,HLC,07/03/2018 07:00,3,OUT
SEASPAN DUBAI 003S,ALCT2,07/03/18 22:30,10/03/18 01:20,10/03/18 09:07,ALI,09/03/2018 13:00,2,IN
MAERSK LOTA 1803,NEO BOSSA,10/03/18 01:00,10/03/18 07:15,10/03/18 23:10,MAE,10/03/2018 01:00,1,IN
MSC MARTA UA 809R,USA-STRING,08/03/18 08:30,10/03/18 12:55,11/03/18 09:40,MSC,09/03/2018 19:00,3,IN
LOG-IN RESILIENTE 025N,VITORIA,09/03/18 06:40,10/03/18 20:25,11/03/18 14:55,MSC,10/03/2018 19:00,2,IN
MOL LONDRINA 805A,IPANE-ASAS,11/03/18 01:00,11/03/18 05:50,12/03/18 03:40,MOL,11/03/2018 01:00,1,IN
MSC RONIT LP 810A,PARANA,10/03/18 07:45,11/03/18 16:20,12/03/18 17:05,MSC,05/03/2018 19:00,3,OUT
MSC MARGARITA UA 807A,USA-STRING,12/03/18 02:48,12/03/18 09:53,12/03/18 19:30,MSC,12/03/2018 07:00,2,IN
MSC AMALFI MM 809R,WMED,12/03/18 23:00,13/03/18 00:40,14/03/18 14:10,MSC,13/03/2018 01:00,1,IN
MAERSK LABERINTO 1804,NEO BOSSA,13/03/18 12:00,13/03/18 13:37,14/03/18 14:35,MAE,11/03/2018 01:00,2,OUT
MSC AJACCIO MM 807A,WMED,13/03/18 23:45,14/03/18 13:37,15/03/18 09:06,MSC,14/3/2018 07:00,3,IN
SAN ANTONIO 807W,SAEX,14/03/18 12:00,14/03/18 19:10,14/03/18 23:50,ALI,14/3/2018 13:00,2,IN
MSC ELODIE NA 807A,NWC1,14/03/18 19:30,15/03/18 02:55,16/03/18 03:17,MSC,13/03/2018 19:00,1,OUT
MSC JEONGMIN FI 809R,IPANE-ASAS,13/03/18 11:30,15/03/18 08:13,17/03/18 02:15,MSC,15/3/2018 13:00,2,IN
LOG-IN RESILIENTE 026N,VITORIA,16/03/18 08:00,16/03/18 12:30,17/03/18 10:50,MSC,17/03/2018 19:00,3,IN
MSC LUDOVICA UA 810R,USA-STRING,16/03/18 20:15,16/03/18 22:05,17/03/18 15:15,MSC,16/3/2018 19:00,1,OUT
CMA CGM RIO GRANDE 317NSS,NEO BOSSA,16/03/18 17:02,17/03/18 05:55,18/03/18 03:15,CMA,17/3/2018 01:00,2,IN
MSC NITA LD 811A,PARANA,17/03/18 07:00,17/03/18 14:10,18/03/18 09:40,MSC,12/3/2018 19:00,3,OUT
MAERSK LAMANAI 1804,NEO BOSSA,17/03/18 20:00,17/03/18 22:40,18/03/18 18:20,MAE,18/3/2018 01:00,1,IN
MSC LILY NA 810R,NWC1,17/03/18 11:00,18/03/18 09:00,19/03/18 13:15,MSC,15/3/2018 07:00,2,OUT
VICENTE PINZON 034S,ALCT2,17/03/18 22:06,18/03/18 13:15,19/03/18 06:50,ALI,16/3/2018 13:00,3,OUT
MOL ABIDJAN 806A,IPANE-ASAS,18/03/18 11:00,18/03/18 22:45,19/03/18 23:14,MOL,18/3/2018 01:00,1,OUT
MSC MAUREEN UA 808A,USA-STRING,19/03/18 02:30,19/03/18 10:20,20/03/18 03:50,MSC,19/3/2018 07:00,3,IN
CSAV TRAIGUEN MM 810R,WMED,19/03/18 08:00,19/03/18 16:45,20/03/18 18:10,HLC,20/3/2018 01:00,2,IN
MSC VITA MM 808A,WMED,20/03/18 20:00,20/03/18 23:31,21/03/18 14:45,MSC,21/3/2018 07:00,2,IN
PAUL RUSS 813W,SAEX,21/03/18 12:00,21/03/18 13:20,21/03/18 21:38,ALI,21/3/2018 13:00,3,IN
UASC UMM QASR NA 811R,NWC1,21/03/18 22:00,22/03/18 01:08,22/03/18 19:45,HLC,22/3/2018 07:00,3,IN
MAERSK LAGUNA 804E,IPANE-ASAS,21/03/18 04:06,22/03/18 06:30,23/03/18 11:10,MAE,22/3/2018 13:00,2,IN
CCNI ANDES NA 808A,NWC1,22/03/18 23:00,23/03/18 03:05,24/03/18 01:18,HLC,20/3/2018 19:00,1,OUT
BARTOLOMEU DIAS 035S,ALCT2,21/03/18 17:45,23/03/18 13:55,24/03/18 04:25,ALI,23/3/2018 13:00,2,IN
MSC MARGARITA UA 811R,USA-STRING,23/03/18 04:00,23/03/18 05:49,24/03/18 08:15,MSC,23/3/2018 19:00,3,IN
MAERSK LOTA 1804,NEO BOSSA,24/03/18 05:00,24/03/18 07:30,25/03/18 04:20,MAE,25/3/2018 01:00,2,IN
LOG-IN RESILIENTE 027N,VITORIA,22/03/18 14:18,24/03/18 11:55,25/03/18 05:20,MSC,24/3/2018 19:00,3,IN
MAERSK LABREA 1805,NEO BOSSA,24/03/18 20:51,25/03/18 10:12,26/03/18 12:03,MAE,24/3/2018 01:00,2,OUT
MSC GIULIA FI 807A,IPANE-ASAS,24/03/18 18:54,25/03/18 11:00,27/03/18 00:43,MSC,25/3/2018 01:00,3,IN
MSC KRYSTAL UA 809A,USA-STRING,26/03/18 14:25,26/03/18 22:25,27/03/18 10:42,MSC,26/3/2018 07:00,2,OUT
MSC AJACCIO MM 811R,WMED,26/03/18 01:42,27/03/18 07:55,28/03/18 13:08,MSC,27/3/2018 01:00,1,IN
MSC MELINE MM 809A,WMED,27/03/18 22:00,28/03/18 01:30,28/03/18 15:13,MSC,28/3/2018 07:00,2,IN
SAN ANTONIO 809W,SAEX,28/03/18 05:00,28/03/18 07:53,28/03/18 15:39,ALI,28/3/2018 13:00,3,IN
MOL LONDRINA 811B,IPANE-ASAS,27/03/18 22:00,28/03/18 19:07,30/03/18 11:48,MOL,29/03/2018 13:00,1,IN
MSC BRUNELLA NA 809A,NWC1,28/03/18 21:00,28/03/18 22:55,30/03/18 09:08,MSC,27/3/2018 19:00,2,OUT
MSC MAUREEN UA 812R,USA-STRING,30/03/18 10:00,30/03/18 15:27,31/03/18 10:42,MSC,30/3/2018 19:00,3,IN
MSC RONIT LP 812A,PARANA,30/03/18 13:00,30/03/18 16:48,01/04/18 10:55,MSC,26/3/2018 19:00,2,OUT
LOG-IN RESILIENTE 028N,VITORIA,30/03/18 13:00,31/03/18 01:45,31/03/18 19:00,MSC,31/03/2018 19:00,1,IN
MSC ELODIE NA 812R,NWC1,29/03/18 02:06,31/03/18 14:20,01/04/18 05:20,MSC,29/3/2018 07:00,3,IN
CMA CGM RIO GRANDE 318NSN,NEO BOSSA,31/03/18 22:00,01/04/18 04:00,02/04/18 07:52,CMA,1/4/2018 01:00,1,IN
SEASPAN DUBAI 004S,ALCT2,31/03/18 17:00,01/04/18 12:52,02/04/18 15:00,ALI,30/3/2018 13:00,2,OUT
MOL ANCHORAGE 808A,IPANE-ASAS,01/04/18 01:00,01/04/18 09:40,02/04/18 16:27,MOL,1/4/2018 01:00,3,IN
CMA CGM LITANI 321NSS,NEO BOSSA,02/04/18 01:35,02/04/18 11:30,03/04/18 04:15,CMA,31/3/2018 01:00,1,OUT
MSC LORETTA UA 810A,USA-STRING,02/04/18 06:42,02/04/18 23:35,03/04/18 13:08,MSC,2/4/2018 07:00,3,IN
MSC VITA MM 812R,WMED,02/04/18 08:30,02/04/18 22:30,04/04/18 02:10,MSC,3/4/2018 01:00,2,IN
MSC NITA LD 813A,PARANA,02/04/18 12:05,03/04/18 07:51,04/04/18 10:43,MSC,02/04/2018 19:00,1,IN
PAUL RUSS 815W,SAEX,04/04/18 05:00,04/04/18 08:52,04/04/18 20:40,ALI,04/04/2018 13:00,3,IN
MOL ABIDJAN 812B,IPANE-ASAS,03/04/18 10:06,04/04/18 10:06,05/04/18 14:09,MOL,05/04/2018 13:00,2,IN
UASC AL KHOR NA 810A,NWC1,04/04/18 21:30,04/04/18 23:00,06/04/18 00:10,HLC,03/04/2018 19:00,3,OUT
CCNI ANDES NA 813R,NWC1,05/04/18 01:18,05/04/18 10:38,06/04/18 05:19,HLC,05/04/2018 07:00,1,IN
MSC KRYSTAL UA 813R,USA-STRING,06/04/18 07:30,06/04/18 09:17,07/04/18 03:11,MSC,06/04/2018 19:00,2,IN
MAERSK LINS 1805,NEO BOSSA,06/04/18 17:00,06/04/18 19:40,07/04/18 19:40,MAE,07/04/2018 01:00,1,IN
LOG-IN RESILIENTE 029N,VITORIA,06/04/18 16:00,07/04/18 13:15,08/04/18 03:09,MSC,07/04/2018 19:00,3,IN
MAERSK LABREA 1806,NEO BOSSA,07/04/18 21:00,08/04/18 00:29,08/04/18 18:15,MAE,08/04/2018 01:00,2,IN
MSC NAOMI FI 809A,IPANE-ASAS,07/04/18 19:20,08/04/18 02:04,09/04/18 03:21,MSC,08/04/2018 01:00,1,IN
MSC RONIT LP 814A,PARANA,09/04/18 13:00,09/04/18 14:25,11/04/18 03:43,MSC,09/04/2018 19:00,3,IN
MSC MARINA UA 811A,USA-STRING,09/04/18 01:54,09/04/18 06:25,09/04/18 19:00,MSC,09/04/2018 07:00,2,IN
MSC AGADIR MM 810A,WMED,09/04/18 21:00,09/04/18 23:40,11/04/18 00:25,MSC,04/04/2018 07:00,1,OUT
MSC MELINE MM 813R,WMED,09/04/18 12:42,10/04/18 00:20,11/04/18 12:07,MSC,10/04/2018 01:00,2,IN
SAN ANTONIO 811W,SAEX,11/04/18 04:49,11/04/18 07:20,11/04/18 13:36,ALI,11/04/2018 13:00,1,IN
MSC PALAK NA 811A,NWC1,11/04/18 05:00,11/04/18 06:33,12/04/18 07:53,MSC,10/04/2018 19:00,3,OUT
MSC AZOV MM 811A,WMED,11/04/18 02:54,11/04/18 18:30,12/04/18 20:10,MSC,11/04/2018 07:00,2,IN
MSC BRUNELLA NA 814R,NWC1,12/04/18 00:30,12/04/18 02:00,12/04/18 21:15,MSC,12/04/2018 07:00,1,IN
VICENTE PINZON 035S,ALCT2,11/04/18 23:30,12/04/18 11:30,13/04/18 15:15,ALI,13/04/2018 13:00,3,IN
MSC LORETTA UA 814R,USA-STRING,13/04/18 05:00,13/04/18 07:30,14/04/18 07:15,MSC,13/04/2018 19:00,2,IN
LOG-IN RESILIENTE 030N,VITORIA,13/04/18 11:06,13/04/18 23:13,14/04/18 17:21,MSC,14/04/2018 19:00,3,IN
MSC GIULIA FI 813R,IPANE-ASAS,10/04/18 22:18,13/04/18 01:26,15/04/18 15:10,MSC,12/04/2018 13:00,1,IN
MSC SARA ELENA FI 810A,IPANE-ASAS,14/04/18 19:00,14/04/18 20:37,15/04/18 17:15,MSC,15/04/2018 01:00,2,IN
MSC CADIZ UA 812A,USA-STRING,16/04/18 03:00,16/04/18 06:40,17/04/18 03:05,MSC,16/04/2018 07:00,2,IN
CMA CGM LITANI 322NSN,NEO BOSSA,15/04/18 20:00,15/04/18 21:40,17/04/18 06:20,CMA,15/04/2018 01:00,1,OUT
CMA CGM MAGDALENA 325NSS,NEO BOSSA,16/04/18 01:30,16/04/18 03:25,17/04/18 14:05,CMA,14/04/2018 01:00,3,OUT
MSC AGADIR MM 814R,WMED,16/04/18 09:30,17/04/18 10:06,18/04/18 13:45,MSC,17/04/2018 01:00,2,IN
MSC ADELAIDE MM 812A,WMED,17/04/18 21:00,17/04/18 22:40,18/04/18 14:40,MSC,18/04/2018 07:00,3,IN
PAUL RUSS 817W,SAEX,18/04/18 16:12,18/04/18 21:30,19/04/18 01:20,ALI,18/04/2018 13:00,2,OUT
MOL ANCHORAGE 0814N,IPANE-ASAS,17/04/18 10:12,18/04/18 10:36,20/04/18 01:40,MOL,19/04/2018 13:00,1,IN
UASC AL KHOR NA 815R,NWC1,18/04/18 18:12,19/04/18 04:00,20/04/18 09:12,HLC,19/04/2018 07:00,2,IN
MSC ARICA NA 812A,NWC1,19/04/18 02:16,19/04/18 05:10,20/04/18 09:50,MSC,17/04/2018 19:00,3,OUT
BARTOLOMEU DIAS 036S,ALCT2,18/04/18 22:00,20/04/18 14:55,21/04/18 03:15,ALI,20/04/2018 13:00,1,IN
MAERSK LABERINTO 1805,NEO BOSSA,20/04/18 19:00,20/04/18 21:15,21/04/18 09:50,MAE,21/04/2018 01:00,2,IN
MSC MARINA UA 815R,USA-STRING,20/04/18 10:30,20/04/18 12:55,21/04/18 10:10,MSC,20/04/2018 19:00,3,IN
LOG-IN RESILIENTE 031N,VITORIA,20/04/18 09:18,21/04/18 06:45,22/04/18 05:15,MSC,21/04/2018 19:00,1,IN
MAERSK LINS 1806,NEO BOSSA,21/04/18 09:00,21/04/18 13:55,22/04/18 09:10,MAE,22/04/2018 01:00,2,IN
MSC ELMA FI 811A,IPANE-ASAS,21/04/18 20:00,21/04/18 21:25,22/04/18 23:50,MSC,22/04/2018 01:00,3,IN
MSC NITA LD 815A,PARANA,22/04/18 10:10,22/04/18 14:50,23/04/18 10:05,MSC,16/04/2018 19:00,2,OUT
MSC MARTA UA 813A,USA-STRING,23/04/18 03:00,23/04/18 06:00,23/04/18 17:10,MSC,23/04/2018 07:00,3,IN
MSC AZOV MM 815R,WMED,24/04/18 04:00,24/04/18 05:45,25/04/18 01:10,MSC,24/04/2018 01:00,2,OUT
SAN ANTONIO 813W,SAEX,25/04/18 05:00,25/04/18 06:15,25/04/18 10:10,ALI,25/04/2018 13:00,3,IN
MSC AMALFI MM 813A,WMED,24/04/18 22:00,25/04/18 00:40,25/04/18 15:50,MSC,25/04/2018 07:00,1,IN
UASC ZAMZAM NA 813A,NWC1,25/04/18 23:45,26/04/18 01:45,27/04/18 00:10,HLC,24/04/2018 19:00,2,OUT
MSC NAOMI FI 815R,IPANE-ASAS,24/04/18 22:00,25/04/18 19:10,27/04/18 01:05,MSC,26/04/2018 13:00,1,IN
SEASPAN DUBAI 005S,ALCT2,25/04/18 19:54,26/04/18 18:25,27/04/18 07:20,ALI,27/04/2018 13:00,3,IN
