BERTH_WINDOW,CHEGADA_BARRA,PREVISAO_ATRACACAO,ESCA_DTHR_ATRACACAO,INICIO_OPERACAO,FIM_OPERCACAO,DESATRACACAO,NAVI_NOME,HINA_QTDE_TOTAL_MOV,HINA_CMPH,SERVICO,LINER,BERCO_ATRACACAO
2018/01/01 00:00:00,2018/11/23 11:40:00,2018/11/24 10:30:00,2018/11/24 12:50:00,2018/11/24 13:52:00,2018/11/25 06:02:00,2018/11/25 07:45:00,STELLAR WILLEMSTADT,1289,"43,46",VITORIA,MSC,BTP 1
2018/11/22 07:00:00,2018/11/22 13:30:00,2018/11/22 15:30:00,2018/11/22 15:05:00,2018/11/22 16:55:00,2018/11/23 08:54:00,2018/11/23 12:44:00,UASC ZAMZAM,892,"35,68",NWC1,HLC,BTP 2
2018/12/16 01:00:00,2018/12/15 23:00:00,2018/12/16 01:00:00,2018/12/16 00:25:00,2018/12/16 02:40:00,2018/12/16 14:48:00,2018/12/16 18:38:00,CROATIA,1275,"34,32",IPANE-ASAS,ONE,BTP 2
2018/12/11 01:00:00,2018/12/09 21:30:00,2018/12/10 00:00:00,2018/12/09 23:05:00,2018/12/10 01:17:00,2018/12/10 23:08:00,2018/12/11 07:40:00,MSC AZOV,2302,"34,54",WMED,MSC,BTP 2
2018/12/28 19:00:00,2018/12/27 13:18:00,2018/12/28 01:30:00,2018/12/28 03:12:00,2018/12/28 04:38:00,2018/12/29 06:16:00,2018/12/29 07:43:00,AGIOS DIMITRIOS,1430,"33,15",USA-STRING,MSC,BTP 3
2019/03/01 19:00:00,2019/03/01 14:30:00,2019/03/01 16:00:00,2019/03/01 16:01:00,2019/03/01 17:52:00,2019/03/02 10:21:00,2019/03/02 14:40:00,MONTE OLIVIA,932,"29,6",UCLA,HAM,BTP 3
2019/01/18 13:00:00,2019/01/21 01:00:00,2019/01/21 05:15:00,2019/01/21 03:25:00,2019/01/21 04:56:00,2019/01/22 00:12:00,2019/01/22 01:18:00,MSC GISELLE,2192,"31,67",IPANE-ASAS,MSC,BTP 1
2019/01/27 01:00:00,2019/01/28 17:30:00,2019/01/28 20:30:00,2019/01/28 21:37:00,2019/01/28 22:54:00,2019/01/29 22:59:00,2019/01/30 03:27:00,CAPE ARTEMISIO,2738,"31,48",IPANE-ASAS,HLC,BTP 1
2019/02/23 01:00:00,2019/02/22 17:00:00,2019/02/22 22:30:00,2019/02/22 22:49:00,2019/02/23 00:00:00,2019/02/23 18:41:00,2019/02/23 19:45:00,CMA CGM RIO GRANDE,1775,"30,22",NEO BOSSA,CMA,BTP 2
2018/01/01 00:00:00,2018/11/10 22:00:00,2018/11/11 00:00:00,2018/11/11 00:27:00,2018/11/11 02:54:00,2018/11/11 18:59:00,2018/11/12 01:09:00,MAERSK LETICIA,1850,"36,01",IPANE-ASAS,MAE,BTP 2
2018/12/27 07:00:00,2018/12/30 20:30:00,2018/12/30 23:00:00,2018/12/30 22:30:00,2018/12/31 00:15:00,2018/12/31 18:04:00,2018/12/31 18:50:00,MSC BRUNELLA,1053,"29,86",NWC1,MSC,BTP 2
2018/12/31 19:00:00,2018/12/25 08:00:00,2018/12/27 09:45:00,2018/12/27 07:24:00,2018/12/27 15:57:00,2018/12/28 06:14:00,2018/12/28 07:39:00,ALDEBARAN,1111,"30,17",EXTRA CALL,MAE,BTP 2
2018/10/23 01:00:00,2018/10/22 06:00:00,2018/10/22 08:00:00,2018/10/22 07:35:00,2018/10/22 08:35:00,2018/10/23 04:30:00,2018/10/23 11:10:00,MSC ADELAIDE,1749,"32,97",WMED,MSC,BTP 1
2018/10/11 01:00:00,2018/10/12 02:30:00,2018/10/12 04:00:00,2018/10/12 03:55:00,2018/10/12 08:43:00,2018/10/12 21:01:00,2018/10/12 23:10:00,MSC ELODIE,954,"35,63",NWC1,MSC,BTP 3
2018/10/11 13:00:00,2018/10/11 01:30:00,2018/10/11 03:00:00,2018/10/11 03:30:00,2018/10/11 05:13:00,2018/10/12 09:51:00,2018/10/12 15:30:00,MSC GIULIA,2778,"30,21",IPANE-ASAS,MSC,BTP 1
2019/02/24 01:00:00,2019/02/23 05:00:00,2019/02/23 13:00:00,2019/02/23 09:15:00,2019/02/23 18:08:00,2019/02/24 07:19:00,2019/02/24 10:25:00,MAERSK LAMANAI,1019,"32,31",NEO BOSSA,MAE,BTP 3
2019/02/15 01:00:00,2019/02/14 22:30:00,2019/02/15 12:00:00,2019/02/15 11:35:00,2019/02/15 13:09:00,2019/02/16 00:12:00,2019/02/16 03:00:00,MSC MARTA,880,"34,03",USA-STRING,MSC,BTP 3
2019/01/29 13:00:00,2019/01/30 04:39:00,2019/01/30 09:00:00,2019/01/30 09:05:00,2019/01/30 11:14:00,2019/01/31 01:18:00,2019/01/31 03:10:00,MSC ADELAIDE,1217,"38,77",WMED,MSC,BTP 1
2019/03/05 19:00:00,2019/03/05 21:24:00,2019/03/06 02:00:00,2019/03/06 02:00:00,2019/03/06 04:31:00,2019/03/06 14:36:00,2019/03/06 16:05:00,NORDAMELIA,263,"26,86",ALCT3,ALI,BTP 3
2019/03/01 01:00:00,2019/03/02 11:20:00,2019/03/03 00:30:00,2019/03/03 00:00:00,2019/03/03 02:19:00,2019/03/03 13:55:00,2019/03/03 17:08:00,MSC ORIANE,978,"34,21",USA-STRING,MSC,BTP 1
2019/02/26 01:00:00,2019/02/25 02:54:00,2019/02/25 19:00:00,2019/02/25 19:10:00,2019/02/25 21:06:00,2019/02/26 20:36:00,2019/02/26 23:20:00,CSAV TRAIGUEN,1997,"31,81",WMED,HLC,BTP 2
2019/01/04 13:00:00,2019/01/05 14:30:00,2019/01/06 01:30:00,2019/01/06 01:15:00,2019/01/06 02:42:00,2019/01/06 11:34:00,2019/01/06 14:30:00,LOG-IN RESILIENTE,632,"39,99",VITORIA,MSC,BTP 2
2019/03/17 13:00:00,2019/03/17 02:30:00,2019/03/17 06:00:00,2019/03/17 10:32:00,2019/03/17 11:54:00,2019/03/18 03:06:00,2019/03/18 06:17:00,MSC CADIZ,1529,"36,84",UCLA,MSC,BTP 1
2019/01/24 07:00:00,2019/01/25 17:40:00,2019/01/26 02:00:00,2019/01/26 01:28:00,2019/01/26 03:12:00,2019/01/26 17:12:00,2019/01/26 18:14:00,UASC ZAMZAM,993,"32,72",NWC1,HLC,BTP 3
2019/01/25 19:00:00,2019/01/25 03:00:00,2019/01/25 07:30:00,2019/01/25 07:45:00,2019/01/25 08:46:00,2019/01/25 18:49:00,2019/01/25 21:02:00,CONTI LYON,632,"34,46",USA-STRING,MSC,BTP 3
2019/03/12 19:00:00,2019/03/12 15:00:00,2019/03/13 09:00:00,2019/03/13 09:46:00,2019/03/13 11:48:00,2019/03/14 02:59:00,2019/03/14 05:38:00,UASC ZAMZAM,1521,"30,31",NWC1,HLC,BTP 1
2019/03/16 19:00:00,2019/03/16 02:50:00,2019/03/16 07:00:00,2019/03/16 07:30:00,2019/03/16 08:59:00,2019/03/17 05:12:00,2019/03/17 06:51:00,LOG-IN RESILIENTE,2089,"41,52",VITORIA,MSC,BTP 3
2019/03/11 07:00:00,2019/03/11 02:42:00,2019/03/11 11:00:00,2019/03/11 11:12:00,2019/03/11 13:15:00,2019/03/12 00:49:00,2019/03/12 06:13:00,CONTI LYON,1322,"44,36",USA-STRING,MSC,BTP 3
2019/01/08 01:00:00,2019/01/07 02:00:00,2019/01/07 03:30:00,2019/01/07 03:30:00,2019/01/07 04:36:00,2019/01/07 14:18:00,2019/01/07 16:40:00,MSC AJACCIO,643,"33,91",WMED,MSC,BTP 2
2019/04/01 01:00:00,2019/03/31 23:00:00,2019/04/01 01:00:00,2019/04/01 02:09:00,2019/04/01 03:53:00,2019/04/01 22:53:00,2019/04/02 01:13:00,CZECH,1968,"34,19",IPANE-ASAS,ONE,BTP 2
2019/03/16 01:00:00,2019/03/15 23:00:00,2019/03/16 01:00:00,2019/03/16 01:01:00,2019/03/16 03:53:00,2019/03/16 16:38:00,2019/03/16 18:48:00,MAERSK LOTA,1457,"36,37",NEO BOSSA,MAE,BTP 2
2019/04/01 07:00:00,2019/04/01 06:52:00,2019/04/02 00:30:00,2019/04/02 00:23:00,2019/04/02 02:11:00,2019/04/02 15:58:00,2019/04/02 20:35:00,MSC MARTA,1633,"38,22",USA-STRING,MSC,BTP 3
2019/03/09 01:00:00,2019/03/08 04:11:00,2019/03/08 18:00:00,2019/03/08 16:50:00,2019/03/08 19:37:00,2019/03/09 04:49:00,2019/03/09 06:43:00,CMA CGM LITANI,664,"31,45",NEO BOSSA,CMA,BTP 3
2018/12/03 07:00:00,2018/12/03 04:00:00,2018/12/03 08:00:00,2018/12/03 05:35:00,2018/12/03 08:10:00,2018/12/03 15:26:00,2018/12/03 19:55:00,MSC CADIZ,448,"33,5",USA-STRING,MSC,BTP 2
2018/10/30 09:00:00,2018/10/30 07:00:00,2018/10/30 09:00:00,2018/10/30 09:10:00,2018/10/30 10:42:00,2018/10/30 23:11:00,2018/10/31 02:05:00,MSC MARGARITA,863,"38,45",USA-STRING,MSC,BTP 3
2018/11/21 07:00:00,2018/11/21 01:00:00,2018/11/21 03:00:00,2018/11/21 03:00:00,2018/11/21 04:03:00,2018/11/21 10:05:00,2018/11/21 16:44:00,MSC AGADIR,763,"38,14",WMED,MSC,BTP 2
2018/10/20 01:00:00,2018/10/19 18:00:00,2018/10/19 21:00:00,2018/10/19 20:45:00,2018/10/19 22:39:00,2018/10/20 10:27:00,2018/10/20 12:10:00,MAERSK LAMANAI,1672,"34,89",NEO BOSSA,MAE,BTP 3
2018/12/21 07:00:00,2018/12/21 16:00:00,2018/12/22 17:00:00,2018/12/22 17:55:00,2018/12/22 19:40:00,2018/12/23 05:04:00,2018/12/23 09:10:00,STELLAR WILLEMSTADT,715,"41,26",VITORIA,MSC,BTP 1
2018/11/17 01:00:00,2018/11/16 16:00:00,2018/11/16 18:00:00,2018/11/16 17:40:00,2018/11/16 19:41:00,2018/11/17 04:13:00,2018/11/17 07:45:00,CMA CGM LITANI,916,"38,31",NEO BOSSA,CMA,BTP 1
2018/12/24 07:00:00,2018/12/30 08:15:00,2018/12/30 10:00:00,2018/12/30 09:57:00,2018/12/30 11:45:00,2018/12/30 23:50:00,2018/12/31 03:20:00,MSC NERISSA,1747,"40,13",USA-STRING,MSC,BTP 1
2018/12/22 01:00:00,2018/12/21 16:00:00,2018/12/21 20:00:00,2018/12/21 19:23:00,2018/12/21 22:11:00,2018/12/22 09:40:00,2018/12/22 13:25:00,MAERSK LOTA,1011,"33,09",NEO BOSSA,MAE,BTP 2
2018/11/18 01:00:00,2018/11/17 17:00:00,2018/11/17 19:30:00,2018/11/17 18:29:00,2018/11/17 20:16:00,2018/11/18 16:43:00,2018/11/18 17:36:00,MAERSK LEON,2171,"33,8",IPANE-ASAS,MAE,BTP 1
2018/10/13 13:00:00,2018/10/15 14:00:00,2018/10/15 16:30:00,2018/10/15 15:15:00,2018/10/15 20:21:00,2018/10/16 12:05:00,2018/10/16 16:35:00,STELLAR WILLEMSTADT,1133,"38,89",VITORIA,MSC,BTP 2
2018/10/24 19:00:00,2018/10/24 01:00:00,2018/10/24 02:30:00,2018/10/24 03:18:00,2018/10/24 05:07:00,2018/10/24 11:05:00,2018/10/24 17:09:00,VICENTE PINZON,163,"29,39",ALCT2,ALI,BTP 3
2018/12/20 07:00:00,2018/12/20 03:00:00,2018/12/20 15:00:00,2018/12/20 15:00:00,2018/12/20 16:58:00,2018/12/21 13:21:00,2018/12/21 16:10:00,CCNI ANDES,1017,"29,07",NWC1,HLC,BTP 2
2018/12/12 07:00:00,2018/12/11 20:00:00,2018/12/12 01:00:00,2018/12/12 01:10:00,2018/12/12 02:14:00,2018/12/12 14:20:00,2018/12/12 17:45:00,MSC AMALFI,1227,"32,86",WMED,MSC,BTP 2
2018/11/15 07:00:00,2018/11/15 23:00:00,2018/11/16 01:00:00,2018/11/16 00:58:00,2018/11/16 02:09:00,2018/11/16 16:39:00,2018/11/16 18:45:00,MSC ARICA,1335,"37,36",NWC1,MSC,BTP 2
2018/12/13 13:00:00,2018/12/12 06:30:00,2018/12/13 12:00:00,2018/12/13 12:02:00,2018/12/13 16:42:00,2018/12/15 03:49:00,2018/12/15 08:06:00,MSC JEONGMIN,1918,"27,64",IPANE-ASAS,MSC,BTP 3
2018/11/09 19:00:00,2018/11/09 03:00:00,2018/11/09 06:00:00,2018/11/09 04:38:00,2018/11/09 07:20:00,2018/11/09 16:33:00,2018/11/10 01:05:00,MSC MARGARITA,851,"33,69",USA-STRING,MSC,BTP 3
2018/10/28 01:00:00,2018/10/27 20:00:00,2018/10/27 22:00:00,2018/10/27 21:32:00,2018/10/27 23:23:00,2018/10/29 01:18:00,2018/10/29 05:10:00,MAERSK LA PAZ,2203,"33,14",IPANE-ASAS,MAE,BTP 2
